Date,Open,High,Low,Close,Adj Close,Volume
2002-03-21,2.250000,2.250000,2.250000,27.000000,2.250000,0
2002-03-22,2.229170,2.229170,2.160830,26.150040,2.179170,44247600
2002-03-25,2.170830,2.187500,2.166670,26.150040,2.179170,7429200
2002-03-26,2.179170,2.237500,2.179170,26.840040,2.236670,4604400
2002-03-27,2.245830,2.312500,2.233330,27.249958,2.270830,13928400
2002-03-28,2.250000,2.283330,2.229170,27.389999,2.282500,6098400
2002-04-01,2.283330,2.290000,2.229170,27.249958,2.270830,2727600
2002-04-02,2.270830,2.290830,2.250000,27.000000,2.250000,4144800
2002-04-03,2.250000,2.254170,2.171670,26.600040,2.216670,8430000
2002-04-04,2.208330,2.266670,2.208330,27.200039,2.266670,2284800
2002-04-05,2.258330,2.329170,2.254170,27.710041,2.309170,5533200
2002-04-08,2.266670,2.304170,2.265000,27.599998,2.300000,4418400
2002-04-09,2.333330,2.333330,2.300000,27.900002,2.325000,2905200
2002-04-10,2.325000,2.360000,2.308330,28.310040,2.359170,3027600
2002-04-11,2.366670,2.366670,2.333330,28.230000,2.352500,5821200
2002-04-12,2.333330,2.366670,2.320830,28.299961,2.358330,5308800
2002-04-15,2.366670,2.370830,2.333330,28.100040,2.341670,2198400
2002-04-16,2.333330,2.375000,2.333330,28.460041,2.371670,3998400
2002-04-17,2.371670,2.371670,2.358330,28.329960,2.360830,3704400
2002-04-18,2.366670,2.366670,2.306670,27.849960,2.320830,3751200
2002-04-19,2.329170,2.329170,2.291670,27.599998,2.300000,3531600
2002-04-22,2.312500,2.370830,2.300000,28.299961,2.358330,8922000
2002-04-23,2.358330,2.358330,2.341670,28.160038,2.346670,12386400
2002-04-24,2.341670,2.364170,2.333330,27.999958,2.333330,6998400
2002-04-25,2.325000,2.325000,2.266670,27.350040,2.279170,3238800
2002-04-26,2.278330,2.278330,2.254170,27.249958,2.270830,7994400
2002-04-29,2.258330,2.283330,2.258330,27.249958,2.270830,3802800
2002-04-30,2.266670,2.282500,2.258330,27.290039,2.274170,4616400
2002-05-01,2.266670,2.312500,2.262500,27.750000,2.312500,5505600
2002-05-02,2.312500,2.312500,2.250000,27.000000,2.250000,7122000
2002-05-03,2.250000,2.275000,2.250000,27.000000,2.250000,5690400
2002-05-06,2.250000,2.308330,2.250000,27.500042,2.291670,4885200
2002-05-07,2.300000,2.300000,2.260830,27.170040,2.264170,10905600
2002-05-08,2.270830,2.308330,2.270830,27.599998,2.300000,3747600
2002-05-09,2.308330,2.323330,2.279170,27.350040,2.279170,2978400
2002-05-10,2.283330,2.304170,2.275000,27.650040,2.304170,6310800
2002-05-13,2.300000,2.316670,2.293330,27.800039,2.316670,844800
2002-05-14,2.301670,2.341670,2.291670,27.849960,2.320830,3202800
2002-05-15,2.300000,2.324170,2.288330,27.800039,2.316670,2846400
2002-05-16,2.316670,2.325000,2.293330,27.660000,2.305000,2947200
2002-05-17,2.308330,2.308330,2.291670,27.549961,2.295830,3913200
2002-05-20,2.283330,2.304170,2.266670,27.609959,2.300830,2151600
2002-05-21,2.308330,2.345830,2.304170,28.110001,2.342500,5212800
2002-05-22,2.342500,2.344170,2.333330,28.100040,2.341670,5890800
2002-05-23,2.332500,2.359170,2.325000,28.310040,2.359170,3151200
2002-05-24,2.359170,2.359170,2.341670,28.250042,2.354170,726000
2002-05-28,2.359170,2.395830,2.359170,28.749958,2.395830,4741200
2002-05-29,2.391670,2.533330,2.391670,29.990040,2.499170,12590400
2002-05-30,2.466670,2.470830,2.433330,29.499958,2.458330,6364800
2002-05-31,2.462500,2.512500,2.462500,30.000000,2.500000,4238400
2002-06-03,2.500000,2.525000,2.487500,30.000000,2.500000,2103600
2002-06-04,2.500000,2.500000,2.475830,29.760000,2.480000,6966000
2002-06-05,2.483330,2.487500,2.458330,29.750042,2.479170,1942800
2002-06-06,2.475000,2.475000,2.416670,29.019958,2.418330,26244000
2002-06-07,2.350000,2.445830,2.350000,29.160000,2.430000,7039200
2002-06-10,2.450830,2.450830,2.412500,29.019958,2.418330,1519200
2002-06-11,2.437500,2.445830,2.379170,28.629959,2.385830,12758400
2002-06-12,2.383330,2.391670,2.312500,28.199999,2.350000,14788800
2002-06-13,2.320830,2.348330,2.316670,28.149960,2.345830,8529600
2002-06-14,2.312500,2.362500,2.312500,28.209961,2.350830,4033200
2002-06-17,2.358330,2.380830,2.349170,28.500000,2.375000,4896000
2002-06-18,2.375000,2.383330,2.329170,28.110001,2.342500,7026000
2002-06-19,2.341670,2.353330,2.332500,28.070040,2.339170,3056400
2002-06-20,2.333330,2.333330,2.250000,27.270000,2.272500,5902800
2002-06-21,2.264170,2.267500,2.179170,26.349960,2.195830,8233200
2002-06-24,2.179170,2.179170,2.133330,25.680000,2.140000,7480800
2002-06-25,2.125000,2.183330,2.125000,25.989960,2.165830,8950800
2002-06-26,2.158330,2.164170,2.125000,25.730042,2.144170,5354400
2002-06-27,2.141670,2.316670,2.141670,27.540001,2.295000,6020400
2002-06-28,2.291670,2.341670,2.283330,27.669960,2.305830,2584800
2002-07-01,2.300000,2.300000,2.258330,27.159960,2.263330,2307600
2002-07-02,2.245830,2.260000,2.225000,27.020039,2.251670,4052400
2002-07-03,2.258330,2.305000,2.258330,27.549961,2.295830,3411600
2002-07-05,2.275000,2.287500,2.262500,27.350040,2.279170,476400
2002-07-08,2.258330,2.290000,2.250000,27.000000,2.250000,696000
2002-07-09,2.254170,2.295830,2.254170,27.300001,2.275000,2534400
2002-07-10,2.270830,2.270830,2.250000,27.020039,2.251670,460800
2002-07-11,2.235000,2.259170,2.229170,27.050039,2.254170,2998800
2002-07-12,2.250000,2.283330,2.233330,27.110041,2.259170,5691600
2002-07-15,2.259170,2.266670,2.237500,27.189960,2.265830,7260000
2002-07-16,2.258330,2.304170,2.258330,27.519958,2.293330,5815200
2002-07-17,2.293330,2.293330,2.250000,27.099960,2.258330,6288000
2002-07-18,2.254170,2.258330,2.250000,27.000000,2.250000,4052400
2002-07-19,2.233330,2.233330,2.208330,26.649960,2.220830,3966000
2002-07-22,2.237500,2.242500,2.187500,26.250000,2.187500,8041200
2002-07-23,2.183330,2.187500,2.151670,26.000042,2.166670,6543600
2002-07-24,2.112500,2.121670,2.099170,25.199999,2.100000,4614000
2002-07-25,2.108330,2.108330,2.058330,24.900002,2.075000,1369200
2002-07-26,2.075000,2.079170,2.004170,24.099960,2.008330,1795200
2002-07-29,2.008330,2.008330,1.875000,22.830000,1.902500,2527200
2002-07-30,1.904170,1.977500,1.845830,23.600040,1.966670,7682400
2002-07-31,1.967500,2.175000,1.967500,24.500042,2.041670,17091600
2002-08-01,2.058330,2.104170,2.025000,25.100040,2.091670,7167600
2002-08-02,2.125000,2.141670,2.114170,25.370041,2.114170,4081200
2002-08-05,2.116670,2.130000,2.000000,24.099960,2.008330,3572400
2002-08-06,2.008330,2.041670,1.987500,24.300001,2.025000,1911600
2002-08-07,2.058330,2.095830,2.050000,25.139999,2.095000,1516800
2002-08-08,2.191670,2.191670,2.125000,25.790039,2.149170,3714000
2002-08-09,2.150000,2.150000,2.102500,25.349998,2.112500,2893200
2002-08-12,2.095830,2.095830,2.054170,24.819962,2.068330,1305600
2002-08-13,2.033330,2.052500,2.029170,24.350040,2.029170,1084800
