@relation VALE5

@attribute Abertura(-4) {A,M,B}
@attribute Baixa(-4) {A,M,B}
@attribute Alta(-4) {A,M,B}
@attribute Volume(-4) {A,M,B}
@attribute Fechamento(-4) {A,I,B}
@attribute Abertura(-3) {A,M,B}
@attribute Baixa(-3) {A,M,B}
@attribute Alta(-3) {A,M,B}
@attribute Volume(-3) {A,M,B}
@attribute Fechamento(-3) {A,I,B}
@attribute Abertura(-2) {A,M,B}
@attribute Baixa(-2) {A,M,B}
@attribute Alta(-2) {A,M,B}
@attribute Volume(-2) {A,M,B}
@attribute Fechamento(-2) {A,I,B}
@attribute Abertura(-1) {A,M,B}
@attribute Baixa(-1) {A,M,B}
@attribute Alta(-1) {A,M,B}
@attribute Volume(-1) {A,M,B}
@attribute Fechamento(-1) {A,I,B}
@attribute Abertura(0) {A,M,B}
@attribute Baixa(0) {A,M,B}
@attribute Alta(0) {A,M,B}
@attribute Volume(0) {A,M,B}
@attribute Fechamento(0) {A,I,B}

@data
M,M,M,M,A,M,M,M,M,B,M,M,M,M,B,M,M,M,M,I,M,M,M,M,A
M,M,M,M,B,M,M,M,M,B,M,M,M,M,B,M,M,M,M,I,M,M,M,M,A
M,M,M,M,B,M,M,M,M,B,M,M,M,M,B,M,M,M,M,I,M,M,M,M,B
M,M,M,M,B,M,M,M,M,I,M,M,M,M,A,M,M,M,M,I,M,M,M,M,B
M,M,M,M,A,M,M,M,M,A,M,M,M,M,A,M,M,M,M,I,M,M,M,M,B
M,M,M,M,A,M,M,M,M,A,M,M,M,M,A,M,M,M,M,I,M,M,M,M,A
M,M,M,M,A,M,M,M,M,B,M,M,M,M,B,M,M,M,M,I,M,M,M,M,A
M,M,M,M,B,M,M,M,M,B,M,M,M,M,B,M,M,M,M,I,M,M,M,M,B
M,M,M,M,B,M,M,M,M,B,M,M,M,M,A,M,M,M,M,I,M,M,M,M,A
M,M,M,M,B,M,M,M,M,B,M,M,M,M,B,M,M,M,M,I,M,M,M,M,A
M,M,M,M,B,M,M,M,M,B,M,M,M,M,B,M,M,M,M,I,M,M,M,M,B
M,M,M,M,B,M,M,M,M,B,M,M,M,M,A,M,M,M,M,I,M,M,M,M,A
M,M,M,M,B,M,M,M,M,A,M,M,M,M,B,M,M,M,M,I,M,M,M,M,B
M,M,M,M,A,M,M,M,M,A,M,M,M,M,A,M,M,M,M,I,M,M,M,M,A
