@relation VALE5

@attribute Abertura(-1) {A,M,B}
@attribute Baixa(-1) {A,M,B}
@attribute Alta(-1) {A,M,B}
@attribute Volume(-1) {A,M,B}
@attribute Fechamento(-1) {P,I,N}
@attribute Fechamento {P,I,N}

@data
M,M,M,M,N,I
M,M,M,M,I,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,I
M,M,M,M,I,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,I
M,M,M,M,I,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,I
M,M,M,M,I,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
M,M,M,M,N,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,P
M,M,M,M,P,N
M,M,M,M,N,N
