DataSet,J48 Unpruned,J48,Random Forest,Naive Bayes
VALE5(1),67.01991250565696,66.9233670236838,67.1164579876301,67.75531754412431
VALE5(2),66.95461918593685,67.68720057339016,66.71620958919613,66.58795126183561
VALE5(3),68.18353331824014,68.3789902648857,67.61451965889366,67.28397856765527
VALE5(4),67.60294395168901,68.08529911304016,66.96735233062843,67.87469333836576
VALE5(5),67.67668378133494,68.01646028390215,67.57475083056481,67.64119601328903
VALE5(6),67.67267097164003,67.98685850232242,67.29730750349309,67.63113175484308
VALE5(7),67.54702727204048,67.70038528367455,67.35211906021001,68.38785223237895
VALE5(8),67.85657611365097,67.79461215853705,67.72131333358523,68.2706766917293
VALE5(9),67.97505668934241,68.13832199546484,67.71504157218442,68.68707482993197
VALE5(10),67.98699580387856,68.16391335576306,67.62181983139908,68.40509583034061
VALE5(11),68.2341374877108,68.04809801104136,67.63139983362325,68.50260909022161
VALE5(12),67.9586973788721,67.79303301940315,67.65233178259389,67.78319906199175
VALE5(13),68.13407990314771,68.31265133171914,67.9577784503632,67.91843220338983
VALE5(14),68.04465468306527,68.4639545884579,67.58675496688741,68.66603595080419
VALE5(15),68.39503368915133,68.12930577636462,67.6955106366871,68.25043530925883
