DataSet,J48 Unpruned,J48,Random Forest,Naive Bayes
VALE5(1),67.01764972092323,67.14738271232461,67.05837984613065,67.71232463418313
VALE5(2),66.92670413821719,67.5234825908182,66.75619600890263,66.60832170206345
VALE5(3),68.16315749754735,68.26352728095993,67.73149196287072,67.33152214927175
VALE5(4),67.51613511983392,68.1939988677109,66.94017739196073,67.92451405925647
VALE5(5),67.7053760193295,68.1153729990939,67.49924494110542,67.66460283902144
VALE5(6),67.6311317548431,68.01404780786224,67.3343151693667,67.65152373399796
VALE5(7),67.57271285034373,67.65279141799503,67.15947722293572,68.31835007932312
VALE5(8),67.97143612800846,68.16412891525296,67.6721955642876,68.28050024558884
VALE5(9),68.06802721088437,68.24338624338625,67.4875283446712,68.69236583522297
VALE5(10),68.24103126299474,68.25388424753336,67.7541299663554,68.38241409291952
VALE5(11),68.14716781365802,68.20691219844207,67.63896241397566,68.49655902593963
VALE5(12),67.77336510458035,67.97004425280835,67.57139074851544,67.84522863950983
VALE5(13),68.16131961259082,68.2793583535109,67.93129539951572,67.95550847457626
VALE5(14),68.09687795648058,68.23235572374647,67.53074739829704,68.64560075685904
VALE5(15),68.21485350897115,68.39806192747369,67.6682564917859,68.2799606329018
VALE5(16),68.33819241982508,68.02241490288137,67.94138805800614,68.63200939002687
VALE5(17),68.14649295561279,68.18209362217846,67.99121345250717,68.6335403726708
VALE5(18),68.23957267871349,68.05243020040156,68.1198621055423,68.54718339205212
VALE5(19),68.31527093596058,68.35619552860932,68.07275483137552,68.63812050018947
VALE5(20),68.38721904256529,68.41147708751849,67.98847742864724,68.2856384793238
VALE5(21),68.29314528359114,68.27722171671218,68.0527752502275,68.45920533818624
VALE5(22),68.37195191323144,68.48951420228298,68.10724714627024,68.31810080018202
VALE5(23),68.25885744632426,68.36810560655488,68.19285334951824,68.32637887868901
VALE5(24),68.43634983874027,68.69284765699108,68.26863972680707,68.6791880098653
VALE5(25),68.49931683619248,68.66175800819796,68.4158190374981,68.47274935478973
VALE5(26),68.2715158877795,68.48107513002545,68.16218063095553,68.46816749553929
VALE5(27),68.31396673501935,68.3382699172173,68.27295511506037,68.55244171033645
VALE5(28),69.01735860523416,68.9284764690242,68.31769666122234,68.62232688874542
VALE5(29),68.91869300911854,68.91717325227962,68.20060790273553,68.33662613981762
VALE5(30),68.91650514954583,69.01911602629878,68.18150723976741,68.4376543913655
