DataSet,J48 Unpruned,J48,Random Forest,Naive Bayes
VALE5(1),0.31033287101248275,0.34424410540915407,0.31403143781784565,0.33978270920018505
VALE5(2),0.36809986130374484,0.37556634304207115,0.37355524734165524,0.25587147480351363
VALE5(3),0.45212667591308364,0.4655802126675915,0.44318076745261215,0.49861303744798885
VALE5(4),0.47944983818770215,0.5013869625520112,0.45989366620434574,0.47230698104484525
VALE5(5),0.49634766527970403,0.5224687933425798,0.47281553398058257,0.5398520573277854
VALE5(6),0.4994914470642626,0.5118585298196949,0.4640083217753121,0.6069579288025889
VALE5(7),0.5022884882108183,0.5071428571428572,0.47998150716597304,0.594290337494221
VALE5(8),0.5050855293573739,0.5130836800739713,0.49412852519648626,0.66208969024503
VALE5(9),0.5110725843735552,0.5174526121128062,0.4924641701340731,0.6701109570041609
VALE5(10),0.5107720758206195,0.5145631067961166,0.49856680536292186,0.6826860841423947
VALE5(11),0.5131530282015718,0.5118122977346277,0.49604715672676836,0.7213361072584371
VALE5(12),0.5034674063800278,0.5090383726306056,0.4994914470642626,0.7075820619509938
VALE5(13),0.5109801202034212,0.5141701340730467,0.5177068885806749,0.7464632454923716
VALE5(14),0.5099398982894129,0.5135691169671753,0.5160425335182617,0.7674063800277392
VALE5(15),0.5140314378178457,0.519671752196024,0.5212436430883032,0.7729311141932502
VALE5(16),0.5147018030513177,0.5097780859916784,0.5250346740638003,0.8001386962552012
VALE5(17),0.5106102635228849,0.515649560795192,0.5290568654646325,0.7992140545538604
VALE5(18),0.5118354137771614,0.5114424410540916,0.5270457697642165,0.8150947757743876
VALE5(19),0.5124364308830328,0.514771151178918,0.5306287563569115,0.8227693018955158
VALE5(20),0.5136153490522424,0.5226074895977809,0.5276236708275545,0.8223300970873785
VALE5(21),0.5127831715210356,0.5151410078594546,0.5291493296347665,0.8379103097549699
VALE5(22),0.5137078132223762,0.5149098474341193,0.5303513638465094,0.8379103097549698
VALE5(23),0.5136615811373092,0.5142163661581137,0.5341655108645401,0.8501386962552009
VALE5(24),0.5129218677762367,0.519671752196024,0.5340499306518725,0.861373092926491
VALE5(25),0.5148867313915857,0.5218215441516412,0.5380258899676374,0.8626213592233007
VALE5(26),0.5113499768839574,0.5162505779010633,0.54415164123902,0.8745030050855293
VALE5(27),0.5126444752658345,0.514632454923717,0.5436199722607489,0.8789644012944983
VALE5(28),0.5265834489135461,0.5226074895977808,0.5481507165973186,0.8885113268608418
VALE5(29),0.5219371243643088,0.5262829403606102,0.5428109107720759,0.8857142857142859
VALE5(30),0.5275080906148867,0.52457235321313,0.5456310679611649,0.8953536754507628
