DataSet,J48 Unpruned,J48,Random Forest,Naive Bayes
VALE5(1),0.8444581280788177,0.8299596954769369,0.8432713837886251,0.8405060456784593
VALE5(2),0.815187321498572,0.8204289634317075,0.810012880103041,0.8648373186985497
VALE5(3),0.7928739495798318,0.787843137254902,0.7908011204481793,0.7579943977591036
VALE5(4),0.7700610883819987,0.7694894356330215,0.7709914252087652,0.779588634198285
VALE5(5),0.7647118187934512,0.7581296254765644,0.7730657098004038,0.743002915451895
VALE5(6),0.7621178978069436,0.7618038027932019,0.7749284872959784,0.710269785181446
VALE5(7),0.7599259342385815,0.7587588373919876,0.7646167657950848,0.7263382336438112
VALE5(8),0.7645242772944147,0.7635026662924502,0.7653999438675272,0.6928655627280382
VALE5(9),0.7630840071877808,0.7625898472596585,0.7634995507637017,0.6950920934411501
VALE5(10),0.7658333801471827,0.7641817875400257,0.7645300825796302,0.6843772821751585
VALE5(11),0.763313476452737,0.7648533213442733,0.7640777790266381,0.6672811059907835
VALE5(12),0.762500702760443,0.762714341935121,0.7614325068870522,0.6642829032439425
VALE5(13),0.7646456692913386,0.7648481439820021,0.7579527559055118,0.6469966254218222
VALE5(14),0.7642266359084005,0.7644742024419062,0.7528385753671301,0.6470488943903674
VALE5(15),0.7640211640211643,0.7639986491050321,0.7523809523809522,0.638905775075988
VALE5(16),0.7655611239371587,0.7632636972802525,0.7546258235260994,0.6308688552283351
VALE5(17),0.7647363677332132,0.7628098242451553,0.753436232537179,0.6313204146011717
VALE5(18),0.7655564947872641,0.7629642152719075,0.7563595378979995,0.6222710622710621
VALE5(19),0.7664223700529936,0.7658924343217949,0.753940692299019,0.6198556770774607
VALE5(20),0.7669505386047036,0.7629236929671196,0.754181941232869,0.6147989397101122
VALE5(21),0.7659896185962537,0.7646016700519069,0.7544233807266983,0.6097494922139471
VALE5(22),0.7667438053846588,0.7679065304509797,0.7546762995992551,0.6076198001919062
VALE5(23),0.765115753811406,0.7664709203839638,0.7541163184641446,0.6017391304347826
VALE5(24),0.7681522905722193,0.768671976501158,0.7553296051516695,0.6014686776252611
VALE5(25),0.7681622965641954,0.7671903254972875,0.7556057866184446,0.5977509041591321
VALE5(26),0.7665328735372268,0.7672564870823676,0.748860873989485,0.5918367346938777
VALE5(27),0.7665648682275762,0.7659540775930326,0.7507974211062096,0.5908720732948761
VALE5(28),0.7702517680339463,0.770874115983027,0.7492729844413013,0.5872022630834512
VALE5(29),0.7710889744170248,0.7689381933438982,0.7501697985057731,0.5842766583654064
VALE5(30),0.7683596625332654,0.7713266519449634,0.7485306607779855,0.5810203272747863
